"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.004G164500.v3.2",317.099936724765,1.34970385148051,0.280243076556363,4.81618981658965,1.46325337337861e-06,1.33601394960655e-05
"Sobic.004G164600.v3.2",3.18952502483965,2.58699173022926,0.995892513998712,2.59766158884151,0.00938609462712858,0.0277500213077746
"Sobic.004G164800.v3.2",7888.10754494663,1.26594742820294,0.278767181414968,4.54123552771614,5.59255106794628e-06,4.37759073858159e-05
"Sobic.004G166200.v3.2",7.77743676196447,1.38550501602991,0.579028191656005,2.39281098225529,0.0167198521800595,0.0449624952118282
"Sobic.004G166400.v3.2",5142.67588334135,2.53122765947485,0.194321288523637,13.0259925647156,8.7061544167294e-39,4.37484259440652e-36
"Sobic.004G169300.v3.2",3.38557619409564,5.4097581636641,1.62768949339138,3.32358117787723,0.000888695533836514,0.00366729307498021
"Sobic.004G169900.v3.2",59.1877439298505,2.07823929548402,0.297065160319942,6.99590383889427,2.63554264559584e-12,8.00354183475428e-11
"Sobic.004G173500.v3.2",1360.5745677771,1.1218125757778,0.226112060155796,4.9613124351034,7.00184619405247e-07,6.89922046858757e-06
"Sobic.004G176600.v3.2",20.5722266924326,1.43365704610005,0.524525048857963,2.7332480102171,0.00627130904584685,0.0196980284127838
"Sobic.004G177700.v3.2",4882.3631266821,1.07932314138477,0.276063942111059,3.90968531830413,9.24164334066552e-05,0.000511023469456333
"Sobic.004G179800.v3.2",178.448083259844,1.09923293235568,0.237376671321644,4.63075384044888,3.64336815013518e-06,3.00658005116727e-05
"Sobic.004G181000.v3.2",86.2402202932773,2.24031557944096,0.302394344388008,7.40858954877269,1.2764970677543e-13,4.92063390227479e-12
"Sobic.004G181300.v3.2",36.7943862750811,3.01281866966428,0.434878955776183,6.92794771889323,4.26989472737606e-12,1.25553644334757e-10
"Sobic.004G181400.v3.2",3.04014771323824,4.12180143910241,1.62787991529783,2.53200583186033,0.0113412104964703,0.0325044758748307
"Sobic.004G183701.v3.2",90.4464842401997,1.29946398675717,0.340580886948913,3.81543426702064,0.000135943641979437,0.000716377169532092
"Sobic.004G187300.v3.2",73.3880395549758,5.1232857115589,1.260751957096,4.06367460524098,4.83061562970602e-05,0.000290146262155662
"Sobic.004G187701.v3.2",49.0561926819405,1.0459623949357,0.306639549939056,3.41104855894676,0.000647135654058372,0.00278787466399305
"Sobic.004G187800.v3.2",56.170869854551,1.14540210404051,0.300948037128944,3.80597964674463,0.00014124399842364,0.000740425878472659
"Sobic.004G189700.v3.2",116.432334955031,1.03945519257068,0.261644206762641,3.97278122620026,7.103828915087e-05,0.000407297770314891
"Sobic.004G190800.v3.2",137.743450063738,1.14259562999213,0.173020718330173,6.60380815095066,4.00728052160639e-11,9.81417527223705e-10
"Sobic.004G190900.v3.2",33.0171811662018,1.45991546482408,0.360388790869739,4.05094581687964,5.10110198223888e-05,0.000304374499852616
"Sobic.004G191700.v3.2",135.704479099824,1.17541760822823,0.364656800684548,3.22335304324968,0.00126699291414798,0.00498019005505297
"Sobic.004G191800.v3.2",95.3996020810095,1.26773030243024,0.257033152915255,4.93216648534134,8.13225562480609e-07,7.87025744368287e-06
"Sobic.004G192800.v3.2",285.403577487513,1.2341479679553,0.489496508126257,2.52126000383433,0.0116935412826194,0.0333289022275812
"Sobic.004G193400.v3.2",23394.6805309555,1.68107273396716,0.384378771126562,4.37347965143903,1.22281647582529e-05,8.76242822249138e-05
"Sobic.004G194950.v3.2",18.9197390344357,1.51087151410515,0.436329465779434,3.4626850410073,0.000534814030451397,0.00236369825929045
"Sobic.004G195000.v3.2",56.2456127854291,2.72883349571426,0.821921285834652,3.32006670558868,0.000899959415834539,0.0037073426967624
