"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.001G032800.v3.2",2963.67830046802,-1.82075756547069,0.287897978983917,-6.32431520324219,2.54358046545989e-10,1.57618502736563e-09
"Sobic.001G032850.v3.2",13.7942557931091,-1.93053727518142,0.586304455830149,-3.29272147940266,0.000992227137758882,0.00235604237792617
"Sobic.001G032900.v3.2",318.911367654936,-3.22736989348615,0.356798072222357,-9.04536808000144,1.49161781231662e-19,2.26241841226481e-18
"Sobic.001G033400.v3.2",678.5118172443,-1.39242761401471,0.150927783701442,-9.22578719349078,2.81485607454809e-20,4.53553760647426e-19
"Sobic.001G034100.v3.2",193.410194668332,-1.96661141829806,0.341768784298856,-5.75421603331209,8.70447860584465e-09,4.4733600027207e-08
"Sobic.001G034500.v3.2",2073.84803983063,-1.02308785754797,0.200290146802016,-5.10802889649525,3.25536875329011e-07,1.36298974486674e-06
"Sobic.001G034700.v3.2",5046.17124646354,-1.04161495758631,0.108886130980584,-9.56609393874088,1.11021074016353e-21,2.01771485816801e-20
"Sobic.001G034900.v3.2",64.4210084808151,-2.23745708908562,0.360990261281992,-6.1981092817842,5.71454596125396e-10,3.407237179516e-09
"Sobic.001G035100.v3.2",119.897317343467,-2.2898283365879,0.61705525146024,-3.71089676519097,0.000206526321297727,0.000556391836489005
"Sobic.001G035600.v3.2",1983.95547637953,-1.59761468841876,0.250885116138833,-6.36791338205448,1.91617070414777e-10,1.20641401265749e-09
"Sobic.001G036300.v3.2",1557.20128013727,-1.46799444867964,0.0878619265072093,-16.7079701872823,1.14672948663919e-62,1.99440582291423e-60
"Sobic.001G036600.v3.2",2.67218795112837,-3.98173727684407,1.19851058302032,-3.32223789531323,0.000892985235036396,0.00214049426076173
"Sobic.001G036900.v3.2",4990.31263946234,-1.59003071817409,0.229593218394581,-6.92542545155425,4.34667186633218e-12,3.31129393544292e-11
"Sobic.001G037300.v3.2",18.688948308237,-2.76681351602875,0.732230517032731,-3.77860994819077,0.000157706219752829,0.000433495726843577
"Sobic.001G037800.v3.2",64.7310541950126,-3.07026171375059,0.322756682908271,-9.51262011396733,1.85919656878567e-21,3.31387353630077e-20
"Sobic.001G038000.v3.2",2588.34422161938,-1.22741796431846,0.210363325573704,-5.8347526165554,5.38704333373019e-09,2.84752224255029e-08
